prob_slum,id
4.172280279004138e-23,86
1.0595338729443138e-26,87
3.493299881378178e-30,88
3.682066335281697e-23,89
5.251647811156654e-24,90
1.664064394092668e-13,91
1.2023162582989067e-15,92
1.6004518131780554e-14,93
2.8295130530086302e-21,94
7.555273327615405e-18,95
3.4563592764789985e-14,96
1.1951505713233722e-15,97
1.537971949836169e-17,98
7.379559618342726e-16,99
3.1448604524071936e-18,100
2.2694834997192737e-17,101
5.806130803160043e-16,102
3.860366696563667e-21,103
8.538711296355017e-25,104
2.1636174822196265e-23,105
3.2988729222761384e-22,106
6.73884708343557e-14,107
2.516198605061781e-21,108
1.99161827048041e-19,109
6.769167402354463e-19,110
8.512709554239275e-21,111
5.5808891651424115e-24,112
2.090659558256171e-16,113
1.8895384103228064e-24,339
2.8931449023003196e-29,340
1.8534983659826905e-19,341
2.4125042582377955e-29,342
1.4812428891383295e-26,343
1.9325575040621868e-22,344
1.5467775007142977e-20,345
5.121379463558581e-28,346
9.283795430539902e-17,347
6.552952523195606e-18,348
4.293065359666296e-22,349
2.8179379948109232e-18,350
1.035294084792541e-18,351
8.824053132610904e-25,352
1.252871747241754e-20,353
2.728274064864788e-16,354
3.7923819337082844e-19,355
2.167688448224826e-25,356
6.150314373398764e-27,357
2.3128923769626504e-19,358
6.474970794730205e-20,359
4.245704927707213e-22,360
2.139032064128562e-22,361
1.3143634330717924e-32,362
3.346342365977081e-20,363
3.381325540141962e-18,364
1.65435360180953e-15,365
1.926551535761257e-14,366
6.4027273118781385e-22,592
2.3144077688368161e-29,593
4.267911162361251e-18,594
8.997914573011216e-19,595
2.4904490839311765e-17,596
3.4686366844368276e-25,597
6.299808352997426e-22,598
1.477831596788555e-14,599
5.364940987088432e-16,600
7.337289803510672e-11,601
7.12704109731609e-18,602
1.5889718605819694e-26,603
6.141756311097885e-27,604
3.5227454242979145e-27,605
4.4834969293052314e-17,606
2.828333926836378e-23,607
1.2043965803551241e-21,608
1.4634876831723103e-20,609
1.0112592853024334e-22,610
1.5917024710526868e-14,611
9.964834513098708e-12,612
8.32203763253113e-24,613
5.738910831336499e-21,614
5.178036759552056e-27,615
3.8937432752458235e-23,616
3.343739063410567e-09,617
4.68205017128704e-14,618
6.924736806985057e-16,619
9.270540789534778e-36,845
2.7750034192124097e-24,846
1.7448273204002579e-23,847
1.8511271111021273e-16,848
1.2606114248480547e-17,849
1.254737580978451e-27,850
6.2409937111816314e-21,851
9.392722709503947e-18,852
1.3447940948752707e-13,853
7.37928157977779e-15,854
3.575361380481339e-24,855
3.4598419643458646e-29,856
2.844316122558411e-22,857
1.4265746743321178e-26,858
2.3963229295620486e-23,859
1.2090372332281957e-20,860
1.6048187092198222e-23,861
4.6071317277146535e-18,862
1.0986224700583994e-26,863
1.1500956276222496e-07,864
2.4355127289932277e-12,865
9.061560046539548e-21,866
1.673260647741667e-15,867
2.1802754207369105e-19,868
2.9953161478912804e-11,869
3.8388375811493347e-10,870
9.88107546964822e-25,871
2.6383676717375016e-17,872
1.0234100782711164e-22,1098
1.4735450858175697e-25,1099
4.0279770363017516e-16,1100
1.929002895308648e-19,1101
4.787882795864463e-25,1102
1.9267830268878912e-18,1103
9.103959717229818e-23,1104
8.723298776033839e-13,1105
5.252733367895352e-15,1106
1.0113091640227595e-15,1107
1.8416264988117995e-30,1108
1.7737346786829956e-27,1109
9.904198739228357e-27,1110
2.9023225001531216e-27,1111
1.3616055076625543e-26,1112
6.9653977392589815e-25,1113
1.3768523098717494e-14,1114
7.64207197019104e-22,1115
2.5162916290179867e-16,1116
1.105674656221748e-16,1117
6.904547400320072e-19,1118
1.5800530363466853e-15,1119
7.557231229693429e-11,1120
1.6739137720378494e-07,1121
0.0002496230008546263,1122
1.8006952723484187e-15,1123
7.841786213180725e-24,1124
3.1689108952581694e-32,1125
1.2522952398824955e-25,1351
5.6238883953641984e-24,1352
1.38714149757308e-20,1353
3.855313127387077e-24,1354
4.490764036665605e-28,1355
5.821458790017919e-30,1356
9.297407343851735e-24,1357
2.7499631872034593e-18,1358
2.41455623879241e-30,1359
1.1282167027161844e-33,1360
1.7769953978852274e-31,1361
6.776000893663851e-23,1362
1.8812647400819793e-27,1363
1.13449012507159e-21,1364
1.0106355399266511e-20,1365
1.7350639045206995e-23,1366
8.251301295575303e-22,1367
5.797626195322916e-18,1368
2.345629577920618e-16,1369
5.443125949694434e-18,1370
4.598445322440137e-12,1371
4.2070954805240035e-05,1372
3.0221430279198103e-05,1373
0.002066125860437751,1374
3.419071652649135e-17,1375
3.199157679693583e-15,1376
8.952305643492632e-20,1377
1.2956751940986647e-25,1378
1.1531390493065043e-20,1604
3.7851305065671266e-17,1605
1.7240068747592652e-11,1606
1.286538952221041e-25,1607
4.192206905470021e-23,1608
1.242806709578708e-16,1609
3.60956571706858e-13,1610
2.757899117411533e-11,1611
7.391650486132662e-11,1612
1.4559941118315247e-18,1613
6.568466351059892e-26,1614
3.5293264655848417e-25,1615
3.2973633580479075e-22,1616
2.3574281931172246e-21,1617
2.6350819377189557e-22,1618
1.3162718494351583e-22,1619
5.03579698706464e-18,1620
4.738083298101714e-13,1621
2.600798421431285e-22,1622
2.6007212771456417e-20,1623
4.7655095173010375e-24,1624
8.357952663295976e-10,1625
1.2878791649071661e-18,1626
1.7600142534785618e-13,1627
9.313074651543953e-21,1628
6.34642674413044e-06,1629
8.615416265360273e-22,1630
1.982197200291314e-19,1631
7.516099741253343e-16,1857
7.828584108011613e-14,1858
5.192740768628079e-13,1859
1.6679832428451169e-12,1860
1.2646014708225361e-14,1861
2.52756748864158e-08,1862
7.589651067974046e-05,1863
0.00502720195800066,1864
0.0005733045400120318,1865
1.0097600533498508e-10,1866
8.236074570045946e-16,1867
4.339462867682239e-15,1868
1.318568365604733e-07,1869
1.2880421174088497e-09,1870
3.1390290031682084e-22,1871
2.549259879227149e-29,1872
1.2207059324717702e-21,1873
7.834460061953937e-24,1874
1.8788505283484196e-24,1875
1.4377495953838315e-15,1876
7.944302361133707e-14,1877
1.8364904263989956e-08,1878
4.848556218171014e-17,1879
1.3087793212195314e-14,1880
4.1456591882516134e-15,1881
2.1179062933560963e-21,1882
1.2092719174542327e-21,1883
4.240718821915237e-22,1884
1.2078795842674049e-21,2110
6.360914572844933e-11,2111
5.844643169439223e-08,2112
0.002798086265102029,2113
2.7803907223058413e-21,2114
2.5344222720491416e-08,2115
0.000474348955322057,2116
9.81747947097645e-15,2117
1.3098768931740778e-06,2118
8.259704918600619e-05,2119
2.2639551389147528e-06,2120
4.3899516189126436e-27,2121
0.00032478803768754005,2122
1.321054008515672e-17,2123
8.814910984137252e-23,2124
1.638633851679888e-36,2125
1.5261564467742764e-30,2126
7.01620980078318e-15,2127
7.005301286971966e-14,2128
6.857835046364391e-12,2129
2.372146946058012e-24,2130
4.939325393663444e-23,2131
8.242492306727754e-22,2132
1.9409702083689414e-17,2133
1.4628804478888924e-07,2134
3.0452782710235596e-26,2135
1.316348569629179e-20,2136
1.0995547770033866e-16,2137
1.126305038817721e-11,2363
3.580231068751362e-14,2364
2.1138437764648072e-16,2365
5.623359555784191e-10,2366
1.218571929222363e-26,2367
4.3171197954820566e-24,2368
1.257956836164505e-14,2369
8.614137371075123e-14,2370
4.2743802623590454e-05,2371
0.9665071964263916,2372
0.0002272573474328965,2373
3.9532626846562613e-13,2374
3.180663787905047e-10,2375
3.674779236178571e-18,2376
2.38106864234035e-16,2377
1.3152879821141666e-22,2378
2.91816627839642e-26,2379
6.807933552931486e-27,2380
1.8872118622980834e-24,2381
3.758269430979051e-24,2382
2.2312829631372837e-25,2383
2.692645433517295e-23,2384
1.0817256125808097e-27,2385
2.5459197537704366e-19,2386
2.4880271124647115e-25,2387
2.891521441158331e-30,2388
1.943354217780096e-26,2389
5.0192713976978e-23,2390
4.3155222776390667e-13,2598
2.5253660869652389e-26,2616
5.044486614232423e-26,2617
6.1983906526114885e-18,2618
6.527720586291252e-09,2619
7.197965601335454e-08,2620
1.865345239382421e-10,2621
9.889069563229214e-10,2622
0.35242101550102234,2623
0.027500580996274948,2624
0.9888017177581787,2625
0.0007294852985069156,2626
1.273051802863634e-11,2627
1.7200737500999708e-09,2628
0.07904791831970215,2629
5.067812055420395e-12,2630
1.930929721671859e-10,2631
7.062890061337123e-20,2632
9.519719555078758e-21,2633
4.0742582547952365e-17,2634
3.933448444194537e-26,2635
4.0903234393266027e-35,2636
2.0112836009709347e-21,2637
2.774394288785901e-28,2638
2.1582886729350793e-34,2639
9.882712798966083e-37,2640
6.752927816591404e-24,2641
1.0565341280624707e-20,2642
2.6904038147161115e-14,2643
0.00035867764381691813,2851
8.084515695783168e-11,2852
0.6128727793693542,2853
3.483023314210243e-10,2854
1.53931763372645e-15,2855
2.6381723640551202e-20,2856
1.109532547648991e-23,2857
2.211671836368185e-19,2858
2.235533908326575e-14,2859
4.544213365230827e-23,2860
3.086119901296591e-12,2861
1.8401857424057707e-31,2862
2.2263102305098034e-24,2863
1.487954616327563e-25,2864
3.721408337059194e-15,2865
4.696385076385923e-05,2866
3.544961032630707e-20,2867
2.511428204062869e-17,2868
2.2752816635819948e-18,2869
2.9141961510016204e-25,2870
1.6736477682683417e-18,2871
3.278849486799967e-22,2872
2.9083752767222748e-11,2873
3.946449751169056e-18,2874
0.17195115983486176,2875
2.118613340318376e-10,2876
4.610909854818601e-06,2877
0.052978597581386566,2878
0.009869212284684181,2879
0.00010718886915128678,2880
1.2384729188852361e-06,2881
0.0005576636758632958,2882
0.9912629127502441,2883
0.8182580471038818,2884
2.3464237457549242e-18,2885
7.058404527526818e-09,2886
1.5075544979037403e-10,2887
4.337824282445776e-15,2888
1.7749195682113913e-19,2889
6.748100663116386e-20,2890
2.755887372032503e-17,2891
1.0057829688736398e-18,2892
2.8958953069079694e-21,2893
6.972724881954504e-28,2894
2.740310302676921e-24,2895
4.752178468511286e-19,2896
2.2643992281246028e-07,2960
7.2932972161599e-11,3104
1.36022848540307e-09,3105
1.042897656589048e-05,3106
1.2985859498826358e-08,3107
1.8162926164484982e-16,3108
9.500394915207266e-11,3109
6.106238431557998e-11,3110
2.0796274858431163e-12,3111
9.254920930803647e-29,3112
3.252707951826502e-25,3113
1.5014385568168365e-11,3114
6.082155444577452e-22,3115
5.0457216654901737e-17,3116
1.360518540116251e-21,3117
7.915438623066533e-19,3118
2.9393824180212746e-11,3119
3.067230689292434e-19,3120
3.9469660111329623e-16,3121
1.3577830611006803e-18,3122
1.6861078438816263e-30,3123
1.879163313844856e-08,3124
7.862456641305471e-08,3125
0.011596503667533398,3126
4.791724705910383e-08,3127
4.605938130897158e-10,3128
9.79377929866132e-08,3129
8.342172981047613e-13,3130
0.00012102723121643066,3131
1.6932268636082881e-06,3132
3.9899094069622855e-18,3133
0.0028191443998366594,3134
3.476091590416676e-19,3135
5.237519508227706e-05,3136
0.0014682170003652573,3137
5.269650955597172e-07,3138
8.912497833080124e-07,3139
8.786634753121803e-10,3140
1.2670955593357264e-14,3141
3.2405397809576186e-10,3142
4.488521110608544e-20,3143
3.099403932984424e-16,3144
4.16214344890406e-13,3145
2.7799497662075838e-14,3146
6.127395974023716e-17,3147
2.426259300136735e-07,3148
8.20298069470482e-08,3149
1.1321823771183303e-27,3211
2.907491678125017e-16,3212
1.087801959620549e-09,3213
0.00036398545489646494,3214
7.530765057943867e-16,3357
1.1557712252530106e-11,3358
0.00012870130012743175,3359
1.6046820746851154e-05,3360
3.2382187782786787e-05,3361
6.576389433021745e-11,3362
1.9014564145436452e-07,3363
1.6569606797744996e-09,3364
7.533870924906713e-23,3365
1.3465227028588824e-26,3366
8.732386591389625e-21,3367
5.918224992730084e-18,3368
5.015450277312539e-09,3369
1.210396760598087e-08,3370
3.1456662361734056e-13,3371
1.1287505013624306e-18,3372
6.905822561272868e-16,3373
3.4063941001249987e-08,3374
4.871877086616844e-18,3375
1.7513126090109522e-19,3376
1.0732153610662281e-16,3377
