prob_slum,id
4.0891674269773193e-13,86
1.5141914998420046e-17,87
4.537988941082265e-18,88
8.840670805928305e-16,89
6.535057326013949e-13,90
1.196011067960967e-10,91
1.433712792930919e-08,92
1.5147334775367227e-11,93
2.415735667060659e-11,94
3.083113408672289e-12,95
3.659746464212965e-11,96
5.323044227623086e-10,97
1.5208853273995793e-11,98
1.793346894596315e-11,99
4.2047032522418704e-10,100
9.90038884207678e-11,101
6.654772566339062e-11,102
4.1442940252505236e-14,103
1.225226212533178e-14,104
1.6877349849723648e-16,105
1.494286058821917e-13,106
9.80449784402683e-14,107
1.9944145618865095e-13,108
5.374200216790026e-12,109
2.4794844996622878e-11,110
2.343056270651036e-14,111
1.3932056149953856e-16,112
9.753569479853397e-12,113
4.54667058939328e-14,339
1.4577428890730215e-13,340
7.508656375701875e-14,341
2.6529639420079347e-15,342
2.3539592787480933e-14,343
1.7485733116973622e-14,344
3.2055940713015315e-16,345
1.9695159267580156e-15,346
4.29573070908143e-13,347
1.0982281707302977e-12,348
1.995503805599097e-12,349
9.259702032915484e-11,350
9.220466404280536e-12,351
8.790627730945189e-13,352
5.305991757076356e-11,353
5.485532514337699e-11,354
3.093393596831362e-11,355
1.0823752240622306e-13,356
2.0257968191800908e-15,357
1.7329478130267972e-11,358
1.56176048655976e-12,359
4.117114635326935e-13,360
4.475555227801114e-15,361
3.412493250673623e-16,362
1.0643194225251618e-12,363
1.5588657101273107e-11,364
9.608657619564198e-12,365
7.786111339003199e-11,366
1.6784887553206868e-13,592
6.228326773598247e-14,593
8.479634217017917e-10,594
3.933789058385706e-13,595
9.105082139637677e-13,596
3.177046516492088e-12,597
5.81292479429063e-12,598
1.0409409445522044e-11,599
3.0817659535387065e-09,600
1.2204043109420581e-08,601
1.6286059306702683e-11,602
1.1158408012412312e-14,603
5.011827774454691e-16,604
8.566393173157008e-14,605
5.114607522227477e-12,606
6.17930674077366e-13,607
1.2510686117715025e-13,608
2.436439620206749e-14,609
6.265648807082802e-13,610
7.290919257219031e-11,611
8.890865127453296e-11,612
9.471540034482889e-14,613
4.345759795315422e-14,614
8.494954308506462e-16,615
4.371190096084249e-14,616
2.860179222352599e-07,617
5.433418714950733e-10,618
1.4526455559271678e-11,619
1.387049112719363e-12,845
1.343862000846574e-11,846
2.064049885869279e-12,847
5.049024349654263e-13,848
1.1058746285244961e-13,849
1.8876644225594014e-14,850
7.039160920818688e-14,851
9.787132042304858e-12,852
8.514790435232289e-13,853
6.198602048312907e-11,854
2.1293403712897667e-14,855
1.700220330024232e-15,856
4.2049588637460555e-14,857
3.15796447694118e-14,858
1.8854163293547527e-13,859
2.3287437516533727e-12,860
1.8502640215865666e-14,861
5.488671854254196e-15,862
2.5270971426571975e-10,863
5.1440657955481583e-08,864
5.651065379530529e-11,865
4.472624798735475e-13,866
4.251950354305922e-12,867
2.462811042342611e-13,868
3.479162202779662e-08,869
4.977836809416658e-08,870
1.0262827913887218e-12,871
1.0207940483837e-14,872
4.347627130269621e-13,1098
