prob_slum,id
1.2474434679665691e-11,86
7.76021716504538e-13,87
2.5996681207469258e-14,88
3.2822808598668984e-13,89
1.075632707903118e-10,90
1.4377668500209495e-10,91
1.7737104007764515e-09,92
4.899461947260875e-10,93
1.16803150485012e-10,94
9.925631150320413e-11,95
1.219142786723637e-09,96
1.6560200322146557e-08,97
9.971849734835558e-12,98
2.487085559721436e-08,99
1.727126885953112e-07,100
3.128125314333374e-08,101
3.7659130924794226e-08,102
1.8125925023079748e-13,103
1.5343822268526833e-14,104
3.1971133639813187e-12,105
3.638046114362581e-11,106
2.642800258148559e-13,107
5.055681984167393e-10,108
7.609485958015583e-12,109
9.875531642444813e-11,110
1.1274749189826849e-10,111
2.6222951761412094e-12,112
1.2511553570959677e-08,113
1.4184863353361443e-11,339
4.3905439180147443e-13,340
1.21153607979263e-11,341
4.238290707975212e-12,342
1.8700287846007413e-11,343
2.659944747102072e-12,344
1.2332959306582403e-11,345
2.54055392175101e-12,346
3.6524125390791085e-10,347
9.319968130583334e-10,348
9.415093149556242e-10,349
1.0245168269307214e-08,350
2.4692564437600595e-08,351
3.591916097889225e-09,352
7.811168600824203e-09,353
8.773303750153616e-10,354
7.948569447080445e-08,355
2.4190474623431157e-10,356
9.554287049018395e-12,357
6.979995248457271e-08,358
3.792408609371023e-09,359
2.0200298378458825e-10,360
2.2114172201336685e-13,361
1.4571020747671058e-15,362
8.112195637455244e-11,363
7.704146653964017e-09,364
1.499821447592531e-11,365
2.441446600442987e-09,366
1.075052713517266e-09,592
5.13263823803678e-12,593
1.0216697710063727e-08,594
3.765485978579619e-10,595
1.3461003423032025e-09,596
1.6360001894866194e-11,597
4.482360704827215e-09,598
3.493142164412433e-10,599
3.423331895735515e-10,600
9.138793194418682e-11,601
2.0507462394903087e-09,602
5.144703239812198e-12,603
3.2119641148187217e-13,604
9.448945792467356e-11,605
7.332282003780222e-11,606
2.5252661073338345e-10,607
2.512112740049588e-10,608
2.6280547182899738e-11,609
1.7740526929432843e-12,610
1.6753545217795818e-09,611
8.748739510622272e-10,612
1.5695980626340145e-10,613
6.3291550819744025e-12,614
1.2309428649992515e-12,615
9.965576107384688e-12,616
4.4617470962293737e-07,617
1.3318015579244502e-09,618
4.4527218023837634e-10,619
2.193947384876438e-10,845
2.2992865389426242e-09,846
5.0164191377211065e-12,847
1.6435175442808259e-09,848
1.4706383680285207e-11,849
1.4289554240397295e-14,850
1.07406632199325e-10,851
5.3619526596548894e-09,852
9.817376946108514e-13,853
1.527503568077293e-09,854
1.1657590170965904e-10,855
3.3596133687530116e-12,856
8.026817058248703e-12,857
1.4979824021835175e-12,858
6.5109736178958766e-12,859
5.513657863609467e-10,860
1.0428298224951504e-09,861
8.59382077761546e-14,862
3.587099020596618e-11,863
1.929884319906705e-06,864
3.266788575762014e-11,865
1.0268066952257016e-10,866
1.873269361851726e-08,867
3.6592040508764967e-10,868
2.0242597997821576e-07,869
8.583509725212934e-08,870
2.7430788543392204e-11,871
2.7515049266790825e-11,872
9.768878067584197e-11,1098
2.418086911259998e-11,1099
