prob_slum,id
6.165900255650225e-12,86
2.26340484982962e-14,87
1.5857661253451498e-14,88
1.3241241870326492e-13,89
1.1246338333260192e-13,90
1.7170062030155697e-12,91
3.570816819314926e-12,92
8.547024307921369e-13,93
5.707917862321499e-14,94
4.161585694648952e-14,95
3.6327446042636047e-13,96
2.1897698931905296e-11,97
3.7543107511694984e-11,98
6.4591465856467245e-12,99
1.6635361491101897e-11,100
4.093135899663203e-11,101
1.796746779136882e-11,102
2.223111668711586e-12,103
1.3117664506706594e-13,104
4.8548377774501605e-14,105
3.711560572772221e-12,106
1.0169006478891185e-12,107
7.766732678000932e-13,108
1.8584388043231537e-13,109
6.48836470662495e-11,110
2.731363399344211e-11,111
2.283329267034704e-14,112
1.6084344143033058e-12,113
1.5668836670854058e-12,339
5.148431052141855e-13,340
4.0925151722354114e-13,341
1.6816065141929404e-13,342
2.6268592336065044e-13,343
2.819730126474296e-13,344
1.4253097518830997e-15,345
4.928845417744021e-14,346
3.9578465504952476e-11,347
4.031841863410407e-13,348
1.300225796170909e-13,349
6.113472575397516e-12,350
2.908163076673076e-12,351
1.1921380766236056e-12,352
7.255370891752488e-13,353
7.3805489497758e-11,354
1.3640638098222357e-12,355
5.692734044576708e-12,356
7.736021025162021e-14,357
2.8412927392806875e-13,358
2.0417400409256103e-11,359
1.27700551955795e-12,360
1.4561874926363738e-12,361
2.5097548110662293e-15,362
3.0340508751225403e-13,363
3.458675674420514e-13,364
5.939233133078758e-11,365
1.6071075026324877e-11,366
3.922867239380956e-12,592
4.6987970290937944e-14,593
4.197681091611116e-11,594
4.890948215006963e-13,595
5.3277769294837046e-14,596
1.7188854845224567e-14,597
2.0018472556698752e-12,598
3.070599872458113e-13,599
4.07530834165698e-13,600
1.1307493569950866e-12,601
1.0189815842238242e-13,602
2.3516257029784077e-14,603
1.042294285683856e-14,604
1.9424850725320575e-13,605
5.308851231886069e-13,606
2.498543906492845e-12,607
2.9845063594970134e-13,608
1.1180682031250444e-12,609
1.9828744549088562e-11,610
1.9378576868178676e-11,611
2.7643629052498397e-10,612
1.9015163250403477e-13,613
8.896449386636834e-14,614
6.581189044251035e-13,615
3.224693393712695e-14,616
2.624732028944088e-12,617
1.5817372639535116e-13,618
1.0516234584534434e-11,619
1.3597639453213212e-13,845
1.2585767118159646e-13,846
3.528461377244607e-12,847
1.3591214742189606e-12,848
1.1485818264371506e-13,849
1.501730055412931e-12,850
1.920386592801915e-12,851
1.9650761053091603e-12,852
8.43986772830485e-12,853
1.6895829895759162e-13,854
2.277949421973513e-13,855
1.3435685398445474e-13,856
5.539864153893993e-14,857
4.593761894315651e-13,858
2.4208765417657596e-13,859
4.211529128911318e-12,860
