prob_slum,id
7.285705372339635e-11,86
3.950803239790614e-14,87
1.1377180447746937e-11,88
9.32400059938665e-11,89
3.391019062770617e-11,90
2.2276938627108223e-10,91
5.641314082538429e-09,92
2.8529889561923483e-10,93
1.4975640172387727e-10,94
5.831886640272899e-10,95
3.1953439894039093e-09,96
6.590475720713584e-08,97
1.0293533136973565e-07,98
1.3985308022768095e-08,99
8.805412399226498e-09,100
3.055184905065289e-08,101
6.363348514781819e-09,102
6.644202521499665e-09,103
3.028673978278107e-09,104
3.271614923416877e-11,105
2.1024195717700422e-09,106
1.0299636699073744e-08,107
1.746714439754271e-09,108
2.2229258433981158e-07,109
1.0151416773851452e-07,110
1.2945920779827702e-08,111
1.7452459477595994e-09,112
1.7232665072697273e-08,113
1.1953833756184196e-11,339
2.969002214220362e-12,340
1.3571309354087902e-10,341
2.0085730301211413e-10,342
4.7728522523105e-12,343
7.835557203073051e-11,344
2.349323860451058e-12,345
7.589117593902184e-13,346
8.995865385941215e-09,347
9.175620263590645e-09,348
5.057668173158447e-10,349
3.566166473234489e-09,350
2.2712336456010007e-09,351
8.970485465553679e-10,352
2.363088391632573e-09,353
3.052084585064563e-09,354
3.833009021292355e-09,355
1.119551562567267e-08,356
4.956732801986163e-10,357
9.080859086907367e-08,358
2.5367389966390874e-08,359
9.46022038483818e-10,360
4.3093434376473283e-10,361
1.086356671287092e-09,362
1.7151865705500313e-08,363
8.00656962951507e-09,364
8.281707764012936e-09,365
3.869554987545598e-08,366
2.70834570048617e-11,592
2.0037762681751614e-12,593
4.681177667720249e-09,594
3.3270694532738787e-10,595
1.0558873775323718e-09,596
9.497609365638482e-10,597
2.237284357775593e-09,598
3.5103878137654476e-10,599
8.142536103150633e-07,600
3.468829561370512e-07,601
6.560368914776404e-10,602
1.60749365207824e-11,603
1.3801224919840482e-11,604
8.016890623574469e-11,605
3.6225242250331746e-10,606
1.5388725016496352e-10,607
4.3536754756878793e-10,608
1.6376098255221905e-09,609
3.1797991795201597e-08,610
1.1304242519827312e-07,611
4.14966564221686e-07,612
1.993471832051341e-09,613
1.6743353370429759e-09,614
3.060559305989585e-10,615
1.2723321285434963e-09,616
5.177271873435529e-07,617
1.273619787411917e-08,618
6.748906988818248e-10,619
1.5081506044012372e-09,845
2.6197832792007603e-10,846
1.59178323855258e-08,847
1.0366923319793386e-08,848
5.189362828339483e-10,849
1.502993063340341e-09,850
9.48240486131624e-10,851
5.838129979451878e-10,852
6.911803129838745e-09,853
4.593376790040793e-09,854
2.953888175727393e-11,855
1.4600957595756192e-11,856
1.515471081958708e-10,857
1.4418533034188385e-10,858
2.2210424610591417e-09,859
2.3044630648172415e-09,860
5.427120974843547e-10,861
2.879649230180803e-08,862
2.8713457140838727e-06,863
6.012019639456412e-06,864
1.5836491229492822e-08,865
9.169497161565232e-09,866
3.4951432859031684e-09,867
5.116827517248623e-10,868
1.0073297289636685e-06,869
6.99961219652323e-07,870
1.610094169102183e-09,871
9.151893826109259e-11,872
8.983647853400001e-11,1098
3.65661723122912e-09,1099
8.1944740770723e-08,1100
1.4602058451274047e-09,1101
5.189112334269552e-11,1102
3.233609291442008e-08,1103
1.6903214383745535e-09,1104
1.6533616076230828e-07,1105
2.909939667006256e-07,1106
4.958245480857215e-10,1107
3.413450511829952e-12,1108
1.7254970022251293e-11,1109
1.0234123964947273e-10,1110
6.839289551363592e-11,1111
4.6792538593853905e-11,1112
1.5227096250569616e-09,1113
5.568355376794898e-08,1114
1.8367343272984726e-06,1115
1.4212014320946764e-07,1116
1.7101076821290917e-07,1117
1.0123167726305837e-07,1118
1.0411188668513205e-05,1119
5.470504902405082e-07,1120
1.563813469829256e-07,1121
1.5463582769825734e-07,1122
7.573143534500559e-08,1123
8.827605868511057e-10,1124
8.016447228254009e-11,1125
4.2960687091087024e-12,1351
1.908380788465114e-12,1352
5.963923799257032e-11,1353
5.140892711530398e-10,1354
8.059886091871249e-10,1355
2.314312075313296e-09,1356
4.426144784019925e-09,1357
6.653570472359149e-10,1358
1.66250929689582e-10,1359
5.945589073158564e-12,1360
2.4917763165321904e-12,1361
1.579312201849259e-11,1362
1.452928315853752e-11,1363
1.0034052755347744e-10,1364
4.090508209930732e-10,1365
2.2913612673924888e-10,1366
9.88456316797226e-10,1367
8.947715457452432e-08,1368
1.6521164525329368e-07,1369
7.0762249393396814e-09,1370
1.0063858098874334e-05,1371
3.037277565454133e-06,1372
5.745454245698056e-07,1373
5.453313497127965e-05,1374
1.2999933005630737e-06,1375
4.5729144915185316e-08,1376
5.386457946343626e-10,1377
6.356891124603692e-10,1378
8.063668621716147e-10,1604
2.0244048659634473e-09,1605
1.2717578989906997e-08,1606
2.801131060437001e-08,1607
1.9898031666798488e-08,1608
1.1003610467241742e-07,1609
4.1367886183252267e-07,1610
1.1858036685907791e-07,1611
2.0068888773039362e-07,1612
4.9107683253168943e-08,1613
1.1196427118775887e-09,1614
1.043909403364296e-11,1615
3.764631384406414e-10,1616
1.1832389235078011e-10,1617
3.1037911130127327e-10,1618
8.342212337586474e-11,1619
1.280680894666375e-09,1620
8.518625804754265e-09,1621
4.159495148314818e-08,1622
1.183694735118479e-06,1623
1.4845649332073663e-07,1624
2.072776624117978e-05,1625
4.4263964582569315e-07,1626
5.292095011100173e-06,1627
9.273148293686972e-08,1628
1.5526520655839704e-06,1629
4.759470684234657e-08,1630
1.0012096929301606e-08,1631
2.9496082021296388e-08,1857
2.3968212303770997e-08,1858
9.787651151782484e-07,1859
5.715217412216589e-06,1860
1.285358592895136e-07,1861
2.9147003033358487e-07,1862
0.00040149156120605767,1863
0.023004913702607155,1864
0.27773216366767883,1865
0.313280314207077,1866
1.4377239949681098e-06,1867
4.090017284852365e-07,1868
1.0745945644430321e-07,1869
6.058942236819576e-10,1870
4.753938562251925e-11,1871
5.3984048134503304e-12,1872
2.0356430083245947e-11,1873
7.517728106698485e-10,1874
5.39116093989378e-08,1875
7.844712399673881e-07,1876
