id,clusterkmeans,clustergmm,probcl0,probcl1,probcl2,probcl3,probcl4,probcl5,probcl6,probcl7,probcl8,probcl9,probmax,stability
9473,0,2,0.02,0.0,0.96,0.0,0.0,0.0,0.01,0.0,0.0,0.01,0.96,0.94
9474,9,0,0.99,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.99,0.98
9479,0,0,0.97,0.01,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.97,0.96
9480,2,0,0.69,0.05,0.2,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.69,0.49
9481,2,3,0.0,0.0,0.17,0.83,0.0,0.0,0.0,0.0,0.0,0.0,0.83,0.66
9484,2,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
9489,9,6,0.3,0.0,0.0,0.0,0.0,0.0,0.67,0.0,0.0,0.03,0.67,0.37
9490,0,0,0.81,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.16,0.81,0.65
9491,0,0,0.86,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.03,0.09,0.86,0.77
9492,0,9,0.18,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.01,0.75,0.75,0.57
9493,7,9,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.03,0.94,0.94,0.91
9494,5,9,0.07,0.01,0.0,0.01,0.0,0.0,0.18,0.0,0.0,0.73,0.73,0.55
9495,2,0,0.32,0.29,0.25,0.01,0.0,0.0,0.1,0.0,0.0,0.03,0.32,0.03
9497,0,0,0.63,0.03,0.01,0.0,0.0,0.0,0.03,0.0,0.03,0.27,0.63,0.36
9498,7,9,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.05,0.92,0.92,0.87
9499,7,9,0.0,0.0,0.0,0.0,0.26,0.0,0.01,0.0,0.01,0.73,0.73,0.47
9500,7,4,0.0,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0.0,0.05,0.95,0.9
9501,7,9,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.85,0.85,0.7
9502,7,4,0.0,0.0,0.0,0.0,0.55,0.0,0.0,0.0,0.0,0.45,0.55,0.1
9503,7,9,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.95,0.95,0.91
9504,0,9,0.29,0.01,0.0,0.0,0.0,0.0,0.02,0.0,0.13,0.55,0.55,0.26
9505,9,1,0.0,0.47,0.04,0.02,0.0,0.0,0.4,0.0,0.06,0.0,0.47,0.07
9506,8,1,0.0,0.46,0.01,0.02,0.0,0.0,0.18,0.0,0.34,0.0,0.46,0.12
9507,9,8,0.0,0.35,0.05,0.0,0.0,0.0,0.1,0.0,0.49,0.0,0.49,0.14
9509,9,0,0.78,0.17,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.78,0.61
9510,9,1,0.0,0.7,0.0,0.03,0.0,0.0,0.25,0.03,0.0,0.0,0.7,0.45
9511,9,6,0.0,0.0,0.0,0.06,0.0,0.0,0.92,0.01,0.0,0.01,0.92,0.86
9512,9,0,0.9,0.01,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.04,0.9,0.85
